,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Execution Visible,lifetime,Size Execution Visible,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Execution Visible,Bid Price 1 Execution Visible,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
0,11885113,30:00.2,1,2238100,21,30:00.2,0.000618806,21,2239500,2238100,2239500,2237500,1400,2000,,0
1,3911376,30:00.2,-1,2239600,20,30:00.4,0.20180527,20,2239500,2238100,2239600,2237500,1400,2100,,0
2,11534792,30:00.2,1,2237500,100,30:00.2,0.000618806,26,2239500,2238100,2239500,2237500,1400,2000,,0
3,1365373,30:00.2,-1,2240000,13,30:00.4,0.213398351,13,2239500,2238100,2240000,2237500,1400,2500,,0
4,11474176,30:00.2,1,2236500,2,31:49.9,109.7143202,2,2239500,2238100,2239100,2236100,1400,3000,,0
5,1847685,30:00.2,-1,2240000,100,30:00.4,0.213398351,27,2239500,2238100,2240000,2237500,1400,2500,,0
6,1847685,30:00.2,-1,2240000,100,30:00.4,0.218268839,73,2239500,2238100,2240000,2237500,1400,2500,,0
7,3920359,30:00.2,1,2236000,15,31:49.9,109.7158856,15,2239500,2238100,2239100,2235000,1400,4100,,0
8,3578212,30:00.2,-1,2240000,4,30:00.4,0.218268839,4,2239500,2238100,2240000,2237500,1400,2500,,0
9,3581197,30:00.2,-1,2240000,10,30:00.4,0.218268839,3,2239500,2238100,2240000,2237500,1400,2500,,0
10,3581197,30:00.2,-1,2240000,10,30:00.4,0.221444992,7,2239500,2238100,2240000,2237500,1400,2500,,0
11,3591155,30:00.2,-1,2240000,50,30:00.4,0.221444992,50,2239500,2238100,2240000,2237500,1400,2500,,0
12,3689544,30:00.2,-1,2240000,100,30:00.4,0.221444992,43,2239500,2238100,2240000,2237500,1400,2500,,0
13,3689544,30:00.2,-1,2240000,100,30:00.4,0.222456058,57,2239500,2238100,2240000,2237500,1400,2500,,0
14,3920363,30:00.2,-1,2240000,6,30:00.4,0.222456058,6,2239500,2238100,2240000,2237500,1400,2500,,0
15,3920364,30:00.2,-1,2240000,23,30:00.4,0.222456058,23,2239500,2238100,2240000,2237500,1400,2500,,0
16,3920367,30:00.2,-1,2240000,6,30:00.4,0.222456058,6,2239500,2238100,2240000,2237500,1400,2500,,0
17,3920371,30:00.2,-1,2240000,54,30:00.4,0.222456058,54,2239500,2238100,2240000,2237500,1400,2500,,0
18,3920373,30:00.2,-1,2240000,54,30:00.4,0.222456058,54,2239500,2238100,2240000,2237500,1400,2500,,0
19,3920374,30:00.2,-1,2240000,15,30:00.4,0.227590289,15,2239500,2238100,2240000,2237500,1400,2500,,0
20,4631442,30:00.2,-1,2240000,76,30:00.4,0.227590289,76,2239500,2238100,2240000,2237500,1400,2500,,0
21,4631569,30:00.2,-1,2240000,20,30:00.4,0.227590289,20,2239500,2238100,2240000,2237500,1400,2500,,0
22,4632895,30:00.2,-1,2240000,15,30:00.4,0.227590289,15,2239500,2238100,2240000,2237500,1400,2500,,0
23,4632989,30:00.2,-1,2240000,10,30:00.4,0.227590289,10,2239500,2238100,2240000,2237500,1400,2500,,0
24,10054324,30:00.2,-1,2240000,25,30:00.4,0.227590289,25,2239500,2238100,2240000,2237500,1400,2500,,0
