,OrderID,Time Submission,Direction_x,Price Submission,Size Submission,Time Cancellation,lifetime,Size Cancellation,Ask Price 1 Submission,Bid Price 1 Submission,Ask Price 1 Cancellation,Bid Price 1 Cancellation,Effective Spread Start,Effective Spread End,Volatility,Number of Orders Submitted
75,116805167,29:12.4,-1,2241500,200,29:12.4,0.007264494,100,2241100,2239400,2241100,2238400,1700,2700,3921.53358,3064
76,116809477,29:12.5,-1,2241400,200,29:12.5,0.03936677,100,2241000,2238100,2241000,2238100,2900,2900,3919.897208,3080
77,117307474,30:06.0,-1,2240700,200,30:06.0,0.000871635,100,2240300,2239500,2240300,2239500,800,800,3933.328672,3054
78,118086455,31:01.2,1,2235900,200,31:01.4,0.254973672,100,2238800,2236400,2238800,2236400,2400,2400,4016.737957,3136
79,118466897,31:54.0,-1,2239000,200,31:55.3,1.25613588,100,2238000,2237000,2238000,2237000,1000,1000,4033.079271,2984
80,119347251,33:27.1,-1,2240100,200,33:28.0,0.893541649,100,2239500,2238800,2239500,2238800,700,700,4019.529339,2980
81,119507401,33:44.4,-1,2240600,200,33:44.4,0.019348777,100,2239900,2238800,2239900,2238800,1100,1100,4012.543844,2980
82,119691191,34:06.6,-1,2240700,200,34:06.6,0.001664162,100,2239900,2238900,2239900,2238900,1000,1000,4002.217719,2980
83,120746257,35:35.4,-1,2238800,200,35:35.5,0.097538928,100,2238300,2237100,2238300,2237100,1200,1200,3450.592103,2985
84,121497184,36:18.0,-1,2238100,200,36:18.5,0.511005927,100,2237600,2236000,2237600,2236000,1600,1600,3170.072105,3106
85,122275035,37:55.2,-1,2236000,200,37:55.2,0.015519266,100,2236000,2234500,2236000,2234100,1500,1900,2811.0938,2861
86,122286000,37:57.2,-1,2236200,200,37:57.7,0.554860601,100,2235800,2233700,2235800,2233700,2100,2100,2864.60862,2888
87,123688501,40:16.2,-1,2235800,200,40:16.7,0.54703043,100,2235700,2233700,2235700,2233700,2000,2000,2017.948733,2699
88,124139900,40:47.4,-1,2235100,200,40:47.9,0.445789182,100,2234900,2233100,2234900,2233100,1800,1800,1905.286826,2597
89,124193688,40:48.4,-1,2234900,200,40:48.4,0.040634193,100,2234700,2232900,2234700,2232900,1800,1800,1925.231341,2611
90,124586409,40:57.6,1,2231700,200,40:57.6,0.002320584,100,2234000,2231800,2234000,2233700,2200,300,2046.680344,2678
91,126417956,43:17.2,-1,2235900,200,43:21.9,4.66909607,100,2235800,2233700,2235800,2233700,2100,2100,2242.605972,2686
92,126522994,43:26.9,-1,2236000,200,43:26.9,0.007760133,100,2235800,2233700,2235800,2233700,2100,2100,2248.256265,2689
93,127269370,44:39.6,-1,2236000,200,44:39.7,0.051462053,100,2235100,2233500,2235100,2233500,1600,1600,1985.414587,2528
94,127321832,44:45.5,-1,2236000,200,44:47.3,1.831063477,100,2235200,2233500,2235400,2233500,1700,1900,1985.414587,2532
95,127397988,44:51.9,-1,2235800,200,44:58.7,6.824356804,100,2235300,2233500,2235300,2233500,1800,1800,1985.414587,2552
96,127513937,45:03.4,-1,2236900,200,45:03.4,0.012007476,100,2236300,2234400,2236300,2234400,1900,1900,1980.775162,2578
97,127610268,45:17.4,-1,2237000,200,45:18.4,1.008270349,100,2236300,2234500,2236300,2234500,1800,1800,1810.194444,2511
98,127808774,45:36.0,-1,2236200,200,45:36.8,0.763368616,100,2236100,2234200,2236100,2234200,1900,1900,1788.483134,2545
99,127916777,45:47.7,-1,2235800,200,45:48.2,0.49394529,100,2235000,2233500,2235000,2233500,1500,1500,1789.173323,2485
100,128007004,45:55.8,-1,2236100,200,45:56.5,0.698622239,100,2235200,2234500,2235200,2234500,700,700,1795.170649,2484
101,129272794,48:21.2,-1,2235800,200,48:21.5,0.279284239,100,2234300,2233300,2234200,2233600,1000,600,1750.759068,2553
102,129274343,48:21.5,-1,2235600,200,48:22.3,0.797718528,100,2234200,2233600,2233900,2233600,600,300,1750.759068,2558
103,129286135,48:22.9,-1,2235800,200,48:24.7,1.816077868,100,2235000,2233500,2235000,2233500,1500,1500,1751.605887,2573
104,129331897,48:31.3,1,2232900,200,48:52.4,21.12921949,100,2235300,2234100,2235200,2233300,1200,1900,1751.605887,2608
105,130138429,50:01.7,1,2233900,200,50:07.8,6.074791712,100,2235900,2234200,2235900,2234200,1700,1700,1651.54181,2572
106,131088035,52:05.9,1,2233500,200,52:12.4,6.509364451,100,2235500,2234200,2235000,2234100,1300,900,1108.674102,2334
107,131124030,52:13.8,-1,2236900,200,52:13.8,0.004991602,100,2236700,2234700,2236700,2234700,2000,2000,1093.792334,2346
108,131143552,52:14.8,-1,2237200,200,52:14.9,0.007905579,100,2236700,2234900,2236700,2234900,1800,1800,1093.792334,2370
109,131210464,52:15.7,1,2234900,200,52:16.3,0.602980941,100,2236900,2236100,2236900,2235100,800,1800,1093.877976,2399
110,131868943,53:09.4,1,2236100,200,53:09.5,0.097325236,100,2238200,2237500,2238200,2237500,700,700,1254.568227,2476
111,131911018,53:10.2,1,2235700,200,53:10.2,0.002508532,100,2238200,2236400,2238200,2236400,1800,1800,1254.568227,2483
112,132726732,54:12.0,-1,2240600,200,54:12.0,0.001588792,100,2240100,2238900,2240100,2238900,1200,1200,1289.353879,2613
113,133894597,56:03.9,1,2236100,200,56:21.5,17.60497675,100,2238300,2237300,2237500,2236400,1000,1100,1336.465041,2484
114,134016996,56:23.4,-1,2237400,200,56:23.4,0.00124519,100,2237300,2235300,2237400,2235300,2000,2100,1302.948102,2477
115,134023655,56:23.4,-1,2237800,200,56:23.4,0.004269422,100,2237300,2235600,2237300,2235600,1700,1700,1302.948102,2489
116,134229856,56:47.1,1,2237200,200,56:47.2,0.00761693,100,2238700,2237200,2238900,2237200,1500,1700,1371.650482,2585
117,134963373,58:24.8,1,2238100,200,58:28.1,3.317910645,100,2240000,2238500,2239800,2238500,1500,1300,1630.065912,2501
118,134984706,58:28.5,1,2238200,200,58:29.5,1.017942431,100,2240000,2238500,2240000,2238500,1500,1500,1681.661053,2501
119,135024981,58:35.5,1,2237900,200,58:45.6,10.02716923,100,2240000,2238500,2239900,2238500,1500,1400,1681.661053,2498
120,135769384,00:22.1,-1,2239900,200,00:25.5,3.328991109,100,2238600,2237700,2238600,2237700,900,900,1789.561253,2393
121,136953151,02:11.6,1,2237600,200,02:11.6,0.002043092,100,2239600,2238300,2239600,2238300,1300,1300,1637.952788,2269
122,137528395,03:11.3,1,2235300,200,03:11.3,0.008446883,100,2236600,2235600,2236600,2235600,1000,1000,1554.951116,2258
123,139715096,06:05.8,1,2232500,200,06:06.1,0.288024823,100,2235000,2233500,2234600,2232800,1500,1800,1404.117443,2429
124,139912647,06:19.5,1,2233200,200,06:19.6,0.064443824,100,2235000,2233200,2235000,2233200,1800,1800,1634.37324,2485
125,139973616,06:24.0,1,2233500,200,06:24.0,0.001468546,100,2235600,2233900,2235600,2233900,1700,1700,1657.468412,2534
